Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails
3a51ba30-35da-56bc-be31-a13a477be308,Alcudia,20:30,,07 400,53.0832717,21.5718075,Iglesia De Sant Jaume (Opposite House),Pla�A Jaume Ques 1.,happy.buck.sympathy,Tuesday,False,False,False,True,All meetings 'open'.,,Meeting held in front of St Jaime Church.,14437,,,0,,,England,Alcoholics Anonymous,AA,True
e5a9a432-514a-5a0e-94eb-b489248f1dc4,Antalya English Speaking,19:30,1 hr,07 100,7.0065385,100.0051415,St Paul Cultural Center. Kilinçarslan,Yeni Kapi Sokak.,unsecured.combative.mugs,Wednesday,False,False,False,False,,,,16822,,,0,,,England,Alcoholics Anonymous,AA,True
d82bfc95-27f2-533c-94b8-94b3574a49a8,Assisi City Of Peace Book Study,10:30,1hr,06 039,6.0000749,38.9923115,Via San Francesca 13,Assisi.,leggings.distant.offhand,Friday,False,True,False,False,,,"Meeting is held in a private room, the first door on the right just after the caf� entrance.",16548,,,0,,,England,Alcoholics Anonymous,AA,True
31789849-4dc2-58fa-b332-9b5ffa593f0b,Belgium Liege International,11:00,,4020,0,0,The Old Cinema,"La Centrale,Place Andr�A Jadoule 11.",prosecuted.amplification.showings,Saturday,False,False,False,True,Open hybrid meeting.,,,14106,,,0,,,England,Alcoholics Anonymous,AA,True
636d2907-6302-5ad0-afd5-b5b3af9760e4,Breda International,09:00,1 hr,481 2AB,51.5916601,4.7678078,Tramsingel 23,"A3,4814 AB Breda",acrobat.referral.flamed,Sunday,False,True,False,False,,,,16670,,,0,,,Scotland,Alcoholics Anonymous,AA,True
a8dad5cc-d9fb-5748-aa34-3ea0cb4b30b5,Calvia,07:30,,07 181,39.5025366,2.5276555,Casa De Cultura,"Puig De Sa Mola,3,Magaluf,Calvia - Suspended Until Further Notice.",poser.retrain.emigrated,Friday,False,True,False,True,All mtgs 'open'.,,Meeting suspended.,12211,,,0,,,England,Alcoholics Anonymous,AA,True
4619fca6-db9b-5bfe-bbe6-7348ab6b0140,Canary Islands Fuertaventura Corralejo,10:30,,35 660,28.7281552,-13.8633524,Catholic Church Meeting Room,"Iglesia Nuestra Senora Del Carmen (Church Of Our Lady Of Carmen),Calle Bajo Blanco 8 At The Junction With Plaza La Inglesia,Corralejo.",situated.gargled.canyons,Friday,False,True,False,True,'Open' meeting on request.,,,13702,,,0,,,England,Alcoholics Anonymous,AA,True
2ea5d56e-532d-5d30-b0c0-56b7ff1b7c29,Estepona Newcomers - Living Sober,19:30,1 hr,29 680,0,0,New American Club,69 Calle San Roque,prosecuted.amplification.showings,Tuesday,False,False,False,False,,,,16916,,,0,,,England,Alcoholics Anonymous,AA,True
7be8d88f-83d6-5951-b772-71b56f5f3012,Fuengirola,12:00,1hr,20 640,36.5360963,-4.6245246,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,eternity.royal.wormlike,Sunday,False,True,False,False,,,,16513,,,0,,,England,Alcoholics Anonymous,AA,True
fe4809ab-60f6-588d-8d7c-1dd921603424,Fuengirola As Bill Sees It,12:00,1hr,20 640,36.5360963,-4.6245246,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,eternity.royal.wormlike,Tuesday,False,True,False,False,,,,12132,,,0,,,England,Alcoholics Anonymous,AA,True
bd53a2b2-50d6-5c0a-821e-4b1704941ec7,Fuengirola Daily Reflections,12:00,1hr,20 640,36.5360963,-4.6245246,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,eternity.royal.wormlike,Friday,False,True,False,False,,,,12134,,,0,,,England,Alcoholics Anonymous,AA,True
a017d885-257f-5fea-a860-425a38d32bd6,Fuengirola Newcomers (Living Sober),12:00,1hr,20 640,36.5360963,-4.6245246,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,eternity.royal.wormlike,Monday,False,True,False,True,All mtgs 'open'.,,,12131,,,0,,,England,Alcoholics Anonymous,AA,True
bd4114b8-613d-5ee8-8043-aab6ad821801,Fuengirola Speaker/Share,12:00,1hr,20 640,36.5360963,-4.6245246,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,eternity.royal.wormlike,Thursday,False,True,False,False,,,,12136,,,0,,,England,Alcoholics Anonymous,AA,True
99bb2f6c-76b0-57d8-8a38-dd920f9eac34,Fuengirola Steps,20:00,1hr,20 640,36.5360963,-4.6245246,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,eternity.royal.wormlike,Wednesday,False,True,False,False,,,,12133,,,0,,,England,Alcoholics Anonymous,AA,True
d7f1b08b-921c-5bd9-b7df-a1ef2cb7bc57,Hungary Budapest Big Book,18:00,,1092,47.4847127,19.0676595,Unitarian Church,"H�Gyes Endre Utca 3,9Th Distri.",totals.loans.shaped,Sunday,False,False,False,True,All meetings 'open'.,,No.3 is almost at the end of the block on left. AA sign on door. Press button No. 5 to get into courtyard door. Once in meeting room is 5th door right,13697,,,0,,,England,Alcoholics Anonymous,AA,True
718e1d38-72dc-59de-b5f4-721fb25e6073,Luxembourg 12 Promises,19:30,,1932,49.5945975,6.1395364,10 Rue Auguste Letellier,10 Rue Auguste Letellier.,jaunts.stocky.serve,Tuesday,False,False,False,True,All mtgs 'open'.,,,12042,,,0,,,England,Alcoholics Anonymous,AA,True
ff9a0940-c75e-5570-9f81-1871e266dd69,Luxembourg 12 Promises,19:30,,1932,49.5945975,6.1395364,10 Rue Auguste Letellier,10 Rue Auguste Letellier.,jaunts.stocky.serve,Thursday,False,False,False,True,All mtgs 'open'.,,,12044,,,0,,,England,Alcoholics Anonymous,AA,True
dd9ac862-253a-5df7-bae7-a26859612fe3,Malaga Peña Flamenca Del Sur,19:00,,29 649,36.5437692,-4.6372866,Calle Butiplaya 1,"29649 Las Lagunas De Mijas,M�Laga.",october.bucks.bottle,Tuesday,False,False,False,False,,,"Opposite la Cala park , around the corner from la Cala post office in restaurant next to bar.",16065,,,0,,,England,Alcoholics Anonymous,AA,True
241400bb-bde9-5a00-a52a-4db80a2c5ba8,Malaga Peña Flamenca Del Sur,19:00,,29 649,36.5437692,-4.6372866,Calle Butiplaya 1,"29649 Las Lagunas De Mijas,M�Laga.",imaginable.lonely.aspiring,Thursday,False,False,False,False,,,"Opposite la Cala park , around the corner from la Cala post office in restaurant next to bar.",16066,,,0,,,England,Alcoholics Anonymous,AA,True
3ace7355-ee8e-5895-ba29-c1d49497e936,Malmo International,17:30,,21 421,51.8836892,22.2167599,Kapellgatan 6,Kapellgatan 6.,onlookers.rehiring.stutters,Friday,False,True,False,True,All meetings 'open'.,,Doors open from 17.15. If the door is closed on late arrival please phone the number given on the door to gain entry. In person with max of 8 people.,12847,,,0,,,England,Alcoholics Anonymous,AA,True
fd2d3412-abac-501b-b734-274d9bd91fb7,Morzine Serenity (International),18:00,1 hr,74 110,72.2697171,109.9898815,Eglise Sainte Marie Madelaine De Morzine,2 Pl. De L'�Glise.,infiltrate.belt.coursed,Wednesday,False,False,False,False,,,"To the right, rear of the church between the Church and School. Meeting room in School cafeteria.",16672,,,0,,,England,Alcoholics Anonymous,AA,True
d36d18e4-4609-5327-ac30-abd023e0efe2,Palma International,19:00,,07 014,6.8903437,14.0985132,Anglican Church,"Carrer Nunez De Balboa 6,Palma De Mallorca.",harder.doorframe.imperiously,Monday,False,False,False,True,'Open' meeting. Al-Anon welcome.,,,12215,,,0,,,England,Alcoholics Anonymous,AA,True
ad408199-7424-56cd-bc29-e96223214c84,Palma International,11:00,,07 014,6.8903437,14.0985132,Anglican Church,"Carrer Nunez De Balboa 6,Palma De Mallorca.",harder.doorframe.imperiously,Saturday,False,False,False,True,All meetings 'open'.,,,12865,,,0,,,England,Alcoholics Anonymous,AA,True
16a59eac-a06b-5b92-9064-a6ed33044050,Paphos,19:30,,8046,47.4228755,8.5147336,Paphos Christian Fellowship International (PCFI),"12 Adamantiou Korai Street,Kato.",wagers.bedrooms.crawled,Monday,False,True,False,False,,,,14577,,,0,,,England,Alcoholics Anonymous,AA,True
39a4fe9c-4473-5405-ac70-6ef3a587c1d8,Paris Arrested Development,17:30,,75 008,48.8668268,2.3076032,Scots Kirk Paris,17 Rue Bayard.,target.rent.shopping,Saturday,False,False,False,False,,,,16512,,,0,,,England,Alcoholics Anonymous,AA,True
9aaa8ca9-0fcd-5101-ae78-ec1e8f93b99a,Portugal Portimao As Bill Sees It,19:30,,8500-831,37.1264103,-8.5581698,Rua Salgueiros Lote 18 R/C B,"Beco Das Hort�Nsias 30,Vale Franca (Potimao).",ships.fussed.sparks,Friday,False,True,False,True,Last Fri each month 'open'.,,,12098,,,0,,,England,Alcoholics Anonymous,AA,True
3ec20a30-d5ac-52dd-8876-d7eb12a78524,Portugal Portimao Steps & Traditions,19:30,,8500-831,37.1264103,-8.5581698,Rua Salgueiros Lote 18 R/C B,"Beco Das Hort�Nsias 30,Vale Franca (Potimao).",ships.fussed.sparks,Monday,False,True,False,True,3rd Mon each month 'open'.,,,12097,,,0,,,England,Alcoholics Anonymous,AA,True
a5d4fbd2-1eb0-5c5f-b95c-addd22c39762,Prague The Keys Of The Kingdom,17:30,,11 000,11.0000465,0.0002808,Klimentska 18 A,Petrska Ctvrt.,peppers.treasures.plunging,Monday,False,True,False,False,,,Please press the buzzer,14544,,,0,,,England,Alcoholics Anonymous,AA,True
d466e4c3-569f-5cf5-acdf-9af07e224449,Puerto Pollenca,18:00,,07 470,0,0,Nuestra Senora De Los Angeles,Carrer Del Colomer5.,prosecuted.amplification.showings,Friday,False,False,False,True,All meetings 'open'.,,,14442,,,0,,,England,Alcoholics Anonymous,AA,True
6dfafa1b-fd33-5877-b1af-ba4aa1050279,St Tropez Big Book,20:00,,38 990,43.2708748,6.6411283,69 Rue Gambetta,St Tropez 83990 (Opposite Pan Dei Hotel In Court Yard).  MEETING RUNS MID MAY TO MID SEPTEMBER,roving.voter.parks,Monday,False,True,False,True,All mtgs 'open'.,,Opposite Pan Dei hotel in court yard.,11898,,,0,,,England,Alcoholics Anonymous,AA,True
a1ce1f5a-e74e-5c8a-a124-35aeb7e2b200,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Tuesday,False,False,False,False,,,,11973,,,0,,,England,Alcoholics Anonymous,AA,True
23d44e87-25ae-5fcc-9d33-87964ad52ff8,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Friday,False,False,False,True,1st Fri each month 'open'.,,,11974,,,0,,,England,Alcoholics Anonymous,AA,True
df78cbeb-ad90-5641-a6b9-0ab2eedf5544,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Saturday,False,False,False,True,All meetings 'open'.,,,11975,,,0,,,England,Alcoholics Anonymous,AA,True
86dfa7de-6eda-5106-a8b9-a8295e18caa1,Stuttgart: Serenity Seekers,16:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Sunday,False,False,False,True,All meetings 'open'.,,,11976,,,0,,,England,Alcoholics Anonymous,AA,True
81d1b799-efd2-5045-8854-f42eb1995db9,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",prosecuted.amplification.showings,Monday,False,False,False,False,,,,11972,,,0,,,England,Alcoholics Anonymous,AA,True
13223eea-0b0e-59c0-b501-ec7f57ab3927,Turkey Fethiye Originals,10:00,1hr,48 300,50.4815651,17.3060088,No. 5 Gulkanat Apartment,"1050 Sokak,Fo�A Mah,(Near �Alis)",madness.fenced.havens,Wednesday,False,True,False,True,'Open' on request.,,,15995,,,0,,,England,Alcoholics Anonymous,AA,True
8e9b8776-eece-503f-ab2e-8ca2b3a77a5f,Turkey Fethiye: English Speaking Literature Study Group,11:00,,48 300,50.4815651,17.3060088,No. 5 Gulkanat Apartment,"1050 Sokak,Fo�A Mah,(Near �Alis)",madness.fenced.havens,Tuesday,False,False,False,False,,,Fethiye Halk Kilisesi (FHK) is down the alleyway 100m to the left of Pasa Kebab restaurant.,12253,,,0,,,England,Alcoholics Anonymous,AA,True
2597ae13-11cc-51a7-a955-39d57af8b6f4,Turkey Kusadasi International,19:00,,09 400,52.5595149,19.6480092,Salt Box Restaurant,"Cumhuriyet,Burc Sk. Kusadasi,Aydin.",veal.occupy.divides,Tuesday,False,False,False,False,,,Summer April to November 7pm to 8pm/Winter November to April 6pm to 7pm.,13336,,,0,,,England,Alcoholics Anonymous,AA,True
bc9359ce-6ceb-5c96-842d-664eb0278e33,Turkey Kusadasi International,19:00,,09 400,52.5595149,19.6480092,Salt Box Restaurant,"Cumhuriyet,Burc Sk. Kusadasi,Aydin.",veal.occupy.divides,Friday,False,False,False,False,,,Summer April to November 7pm to 8pm/Winter November to April 6pm to 7pm.,13337,,,0,,,England,Alcoholics Anonymous,AA,True
4e052c82-dc61-5efd-a3bc-779f54f0e17f,Vilnius The Old Town Groups Of AA,18:30,,01 122,1.0001659,121.9957303,Daukanto A. 1,Daukanto A. 1.,considerable.inhibitor.plantations,Tuesday,False,True,False,False,,,,12040,,,0,,,England,Alcoholics Anonymous,AA,True
1af13d7c-b5b9-5936-bb64-95f354b93a5b,Wiesbaden AKOF Big Book Study Hybrid,19:00,,65 991,50.0870878,8.2666653,Ev. Versuhnungsgemeinde,"Germeindezentrum,44 Kirchbachstrasse.",bleak.bleach.football,Wednesday,False,False,False,False,,,Zoom Meeting ID 654 1216 071 Passcode Family1,13207,,,0,,,England,Alcoholics Anonymous,AA,True
c2950d3c-8acd-5493-a39d-5c3b92a1a0cd,Wiesbaden AKOF Literature Hybrid,18:00,,65 191,51.9424561,15.5215959,Ev. Versuhnungsgemeinde,"Germeindezentrum,44 Kirchbachstrasse.",sizes.crispy.glove,Friday,False,False,False,True,Last Friday of each month 'open' speaker meeting.,,Zoom Meeting ID 654 1216 071 Passcode Family1,13618,,,0,,,England,Alcoholics Anonymous,AA,True
eae288d1-25c5-5143-873a-f50ceecb27bf,Zurich 11Th Step (Hybrid),19:00,1 hr,8037,47.395226,8.5216392,Rosengartenstrasse 1,8037 Zurich,rafters.requires.zone,Tuesday,False,False,False,True,All meetings 'open'.,,Online details: Zoom Meeting link: https://zoom.us/j/178537287Zoom ID: 178537287. No password required.,13242,,,0,,,England,Alcoholics Anonymous,AA,True
35d3b808-5ea9-5492-8f7a-c799eef988d2,​,,,,0,0,,,prosecuted.amplification.showings,​,False,False,False,False,,​,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
b3e9bcb0-bed0-5afe-8fb6-9c2f6b026c8c,C.A Mayo,,,,39.6952629,3.0175712,"Zoom Link: Click Here

Meeting ID: 514 870 6928
Passcode: Mayoca","Zoom Link: Click Here

Meeting ID: 514 870 6928
Passcode: Mayoca",rattle.jetted.downright,Saturday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
1d6e7e9a-fb4f-50bd-8cc8-fd3758382023,C.A. Armagh,20:30,,BT61 9AT,54.3502798,-6.652792,"Zoom Link: Click Here

Meeting ID: 402 675 5705

Passcode: Armaghca","Zoom Link: Click Here

Meeting ID: 402 675 5705

Passcode: Armaghca",resold.relating.stag,Tuesday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
01066897-469b-54ae-8431-879108c88321,C.A. Armagh,20:15,,BT61 7QX,54.35145,-6.658212,Missionaries Of Charity,"19A Cathedral Road,Armagh,Co. Armagh",niece.spells.snowballs,Thursday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
12492bd4-572f-5114-9cf3-2f550e16b89f,C.A. Ashbourne,19:30,,A84D D79,53.5112498,-6.402045,Ashbourne Youth Cafe,"Killegland, Ashbourne,",minimum.echoing.forests,Monday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
1e352d39-9a83-5a73-a506-1a8fa7576e6c,C.A. Athy,20:30,,R14X H79,53.0069687,-7.0062837,Cuan Mhuire Treatrment Centre,"Oldmill Vicarstown Road, Athy,",disappoint.human.hairspray,Monday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
8127ca08-7eca-54c6-a7d0-9ddf9f17510c,C.A. Aungier St.,20:00,,D02T 258,53.34013,-6.2660164,Carmelite Centre,"Aungier Street, Dublin 2,",stages.vibe.shack,Wednesday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
e13be142-76eb-58cd-9e3c-7177495d3a0a,C.A. Ayrfield,,,,0,0,,,prosecuted.amplification.showings,Thursday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
56f6963a-9656-52d5-9b76-564e1ce95ab5,C.A. Bachelor's Walk,13:00,,,0,0,"Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor","Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor",prosecuted.amplification.showings,Monday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
a8dfc078-f395-5feb-93b7-cc01a2c2a932,C.A. Bachelor's Walk,13:00,,,0,0,"Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor","Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor",prosecuted.amplification.showings,Tuesday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
992819c7-a47a-5659-ba6d-40febc23b5e9,C.A. Bachelor's Walk,13:00,,,0,0,"Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor","Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor",prosecuted.amplification.showings,Wednesday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
b197477a-3f66-5a12-9641-6b60c8a5ce18,C.A. Bachelor's Walk,13:00,,,0,0,"Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor","Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor",prosecuted.amplification.showings,Thursday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
f81273bf-505c-535e-b8e0-cb8d4ba44845,C.A. Bachelor's Walk,13:00,,,0,0,"Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor","Zoom Link: Click Here

Access Code: 733 233 3432

Passcode: Cabachelor",prosecuted.amplification.showings,Friday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
afe0287d-f83d-5912-9f2d-0be8b3ecfcca,"C.A. Ballymena
Common Journey",20:00,,BT42 2BQ,54.857088,-6.276532,Carson Project,"176 Queen St, Ballymena  (UK)",charm.bump.farms,Monday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
deccfba8-d549-57ac-8847-6c653e051f37,"C.A. Ballymena
Common Journey",20:00,,BT42 2BQ,54.857088,-6.276532,Carson Project,"176 Queen St, Ballymena",charm.bump.farms,Wednesday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
3201fb3a-0424-5faa-9183-d849dd5cd0fa,"C.A. Ballymena
Common Journey",20:30,,BT61 9AT,54.3502798,-6.652792,"Zoom Meeting ID - 4026755705
Passcode                 - Armaghca","Zoom Meeting ID - 4026755705
Passcode                 - Armaghca",resold.relating.stag,Friday,False,False,False,False,,​,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
e103c659-bb2c-5f32-a6b0-f0fbf4c04a1a,"C.A. Ballymena
Common Journey",19:00,,BT42 2BQ,54.857088,-6.276532,Carson Project,"176 Queen St, Ballymena  (UK)",charm.bump.farms,Sunday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
03e0ec40-538f-5766-aabf-2b94e1ccf2d9,C.A. Ballymun,19:00,,,53.3957557,-6.2731542,The Sillogue Neighbourhood Centre,"Marewood Cres, Ballymun, Dublin 11",clues.finishing.regime,Monday,False,False,False,False,,Meditation Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
70985b05-846c-5238-a93e-702e46fe22ff,C.A. Ballymun,20:00,,,53.3957557,-6.2731542,The Sillogue Neighbourhood Centre,"Marewood Cres, Ballymun, Dublin 11",clues.finishing.regime,Wednesday,False,False,False,False,,Men's Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
7b6f8e98-e97d-50d1-89d6-36c624969b20,C.A. Ballymun,20:00,,,53.3957557,-6.2731542,The Sillogue Neighbourhood Centre,"Marewood Cres, Ballymun, Dublin 11",clues.finishing.regime,Saturday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
65373eaf-da5f-5de7-87ab-5bb9799b8f56,C.A. Belfast,20:00,,BT12 6EN,54.588061,-5.97004,St. John's Parochial House,"446-448 Falls Road,Belfast,Co. Antrim",washed.flies.bounty,Thursday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
28e78f61-b8e5-5ff3-b03b-304e05cd0892,C.A. Blackrock,20:30,,A94Y 3X7,53.3010469,-6.1761059,Urban Junction,"42 Main St, Blackrock, Co. Dublin,",went.notice.audio,Friday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
ccfd0751-935c-54d3-b803-3b8cf0e021cc,C.A. Blanchardstown,19:30,,D15E 424,53.4033419,-6.3856826,Tolka River Project Ltd,"22 Robinhood Rd, Buzzardstown, Dublin,",insist.qualifier.impede,Tuesday,False,False,False,False,,Beginners / Newcomers Meeting,,,All,UK,0,All,Region,Ireland,Cocaine Anonymous,CA,False
