Name,Area,Country,Latitude,Longitude,Zoom,Boundary
Bournemouth District,South West,England,50.7461661,-1.827507019,13,"[-1.860811,50.720613],[-1.754804,50.729332],[-1.750507,50.740869],[-1.841393,50.830603],[-1.903857,50.771195],[-1.903843,50.722419],[-1.860811,50.720613]"
Cornwall,South West,England,50.47289459,-4.9476215,9,"[-5.27441,50.101134],[-5.017187,50.157675],[-4.366605,50.361761],[-4.238867,50.413658],[-4.358868,50.630632],[-4.55018,50.828376],[-5.683177,50.122981],[-5.550621,50.105673],[-5.27441,50.101134]"
Devon Central,South West,England,50.89725735,-3.605298,9,"[-3.411279,50.619169],[-3.072145,50.705682],[-2.996463,50.783395],[-4.117864,51.210748],[-4.214022,51.040516],[-4.206073,51.017921],[-4.002015,50.738116],[-3.411279,50.619169]"
Plymouth,South West,England,50.38200705,-4.147725105,14,"[-4.142855,50.367774],[-4.140121,50.368],[-3.972942,50.384457],[-4.146647,50.548781],[-4.146831,50.547851],[-4.168034,50.379067],[-4.142855,50.367774]"
Poole and District,South West,England,50.75155586,-1.9477895,12,"[-1.930568,50.698211],[-1.905376,50.72786],[-1.898324,50.80484],[-1.988709,50.80135],[-1.997255,50.753519],[-1.983319,50.713752],[-1.930568,50.698211]"
Somerset,South West,England,51.18070476,-2.9671435,9,"[-2.963221,50.87283],[-2.79436,50.882896],[-2.624297,50.944037],[-2.452746,51.111804],[-2.482407,51.286193],[-2.717555,51.328284],[-2.974542,51.347141],[-2.978346,51.347092],[-3.481541,51.206087],[-3.228345,50.979593],[-2.963221,50.87283]"
South Devon,South West,England,50.44010043,-3.6380595,10,"[-3.777572,50.286344],[-3.57233,50.433591],[-3.568926,50.436177],[-3.517523,50.477034],[-3.4692,50.580326],[-3.675081,50.593359],[-3.75492,50.515027],[-3.777572,50.286344]"
West Dorset,South West,England,50.83278386,-2.447339,10,"[-1.962469,50.607857],[-2.197217,51.006554],[-2.27268,51.036335],[-2.407705,51.056632],[-2.93194,50.72524],[-2.464182,50.611956],[-1.962469,50.607857]"
Bristol and District,South Midlands,England,51.46905909,-2.64169693,12,"[-2.545108,51.410337],[-2.494984,51.438182],[-2.468403,51.456965],[-2.405205,51.540023],[-2.526293,51.608328],[-2.85776,51.43946],[-2.743521,51.412436],[-2.545108,51.410337]"
Chiltern and Thames,South Midlands,England,51.64100399,-0.735546,11,"[-0.585134,51.464162],[-0.506689,51.501974],[-0.542837,51.61953],[-0.61389,51.704914],[-0.785616,51.805316],[-0.840246,51.817159],[-0.866387,51.805716],[-0.964403,51.606399],[-0.642421,51.477545],[-0.585134,51.464162]"
Severn,South Midlands,England,51.85148312,-2.274856567,10,"[-2.158028,51.636393],[-1.69294,51.695189],[-1.691305,51.697473],[-1.724227,51.929635],[-1.943862,52.091813],[-2.254723,52.193431],[-2.426731,52.034088],[-2.61913,51.792699],[-2.549204,51.716684],[-2.458665,51.691115],[-2.158028,51.636393]"
South Midlands,South Midlands,England,51.82825145,-1.3416875,10,"[-1.417887,51.589022],[-1.229258,51.604264],[-0.981685,51.747789],[-0.988738,51.994614],[-1.146363,52.029525],[-1.339541,52.060139],[-1.647506,52.088274],[-1.70169,51.990187],[-1.646942,51.779343],[-1.631885,51.739718],[-1.58823,51.655811],[-1.417887,51.589022]"
Thames Valley,South Midlands,England,51.47517336,-1.0636525,11,"[-0.805356,51.348331],[-0.650401,51.408039],[-0.903638,51.535604],[-1.124602,51.601664],[-1.476904,51.488838],[-1.324811,51.395033],[-0.805356,51.348331]"
Wiltshire and Bath,South Midlands,England,51.40565213,-2.093582153,10,"[-2.080008,51.064906],[-1.798819,51.068999],[-1.513756,51.417387],[-1.705284,51.636769],[-2.096997,51.583815],[-2.497313,51.416833],[-2.49822,51.415633],[-2.47717,51.328742],[-2.080008,51.064906]"
East Herts or West Essex,Eastern,England,51.76253242,0.030461,11,"[0.05668,51.649588],[0.114715,51.70501],[0.13293,51.756532],[0.151807,51.811285],[0.17325,51.875195],[0.136152,51.874804],[-0.112328,51.854037],[-0.057891,51.706075],[-0.032986,51.689028],[0.05668,51.649588]"
Essex,Eastern,England,51.73000393,0.701065063,10,"[0.325883,51.479439],[0.784481,51.542211],[1.153147,51.797093],[0.876375,51.929853],[0.638435,51.945664],[0.360906,51.872001],[0.325883,51.479439]"
Fenland,Eastern,England,52.38860901,0.056991577,10,"[0.443834,52.084468],[0.493018,52.365603],[0.160622,52.663566],[-0.28275,52.601313],[-0.303109,52.541782],[-0.289963,52.213012],[0.443834,52.084468]"
Lea Valley,Eastern,England,51.73637847,-0.4398675,11,"[-0.346254,51.636574],[-0.281822,51.653669],[-0.214689,51.762566],[-0.215513,51.799006],[-0.385578,51.832505],[-0.46583,51.835963],[-0.663519,51.793255],[-0.665046,51.792464],[-0.468044,51.639161],[-0.346254,51.636574]"
Milton Keynes,Eastern,England,52.03968833,-0.74791,12,"[-0.742183,51.993507],[-0.728073,51.993922],[-0.647513,52.011835],[-0.726575,52.085501],[-0.848307,52.054599],[-0.742183,51.993507]"
North East Anglian,Eastern,England,52.51294374,1.064359,9,"[0.443834,52.084468],[1.736231,52.461245],[1.754392,52.477723],[1.728883,52.606212],[1.68944,52.696461],[1.295225,52.930117],[0.488814,52.937282],[0.400965,52.754067],[0.374326,52.603925],[0.443834,52.084468]"
North Herts and North Beds,Eastern,England,51.98288624,-0.2231075,10,"[-0.195116,51.78556],[0.159263,51.869283],[-0.022456,52.053453],[-0.604835,52.179347],[-0.195116,51.78556]"
North Thames,Eastern,England,51.55666233,0.3350405,11,"[0.321459,51.475418],[0.327621,51.47793],[0.485728,51.565301],[0.501682,51.589369],[0.413583,51.636981],[0.280237,51.639089],[0.187508,51.578456],[0.184353,51.564977],[0.19076,51.519066],[0.321459,51.475418]"
South Bedfordshire,Eastern,England,51.9134507,-0.503826141,12,"[-0.408768,51.872773],[-0.408023,51.872907],[-0.370242,51.892126],[-0.510406,52.010047],[-0.660637,51.918708],[-0.642588,51.905788],[-0.519881,51.886118],[-0.408768,51.872773]"
South East Anglian,Eastern,England,52.16133447,0.992889404,9,"[1.148893,51.786837],[1.245857,51.831023],[1.577283,52.207137],[1.675126,52.332116],[1.499124,52.338914],[0.518864,52.335236],[0.727599,52.038163],[1.148893,51.786837]"
Birmingham,Midlands,England,52.47117244,-1.900463104,12,"[-2.216565,52.193294],[-1.737003,52.386216],[-1.740078,52.517129],[-1.8232,52.570359],[-1.879046,52.543199],[-2.047799,52.448709],[-2.216565,52.193294]"
Black Country,Midlands,England,52.55151558,-2.098731995,11,"[-2.281194,52.340245],[-2.062939,52.44863],[-1.825065,52.683695],[-1.933826,52.758446],[-2.189493,52.625428],[-2.31235,52.372837],[-2.281194,52.340245]"
Coventry and Warwickshire,Midlands,England,52.40483446,-1.566317,10,"[-1.709143,52.188475],[-1.594353,52.197226],[-1.387161,52.253375],[-1.262866,52.367042],[-1.260101,52.375206],[-1.370612,52.541426],[-1.376646,52.541926],[-1.477346,52.526465],[-1.749384,52.375763],[-1.87479,52.215563],[-1.709143,52.188475]"
Derbyshire,Midlands,England,52.96310035,-1.61567688,10,"[-1.466191,52.728524],[-1.271191,52.898696],[-1.380865,53.098395],[-1.674869,53.211104],[-1.911894,53.257544],[-1.913914,53.252595],[-1.867241,52.897565],[-1.784014,52.807072],[-1.466191,52.728524]"
Lincolnshire,Midlands,England,53.16902124,-0.240325928,9,"[-0.476384,52.653545],[-0.293221,52.670756],[0.189962,52.768812],[0.346101,53.150041],[0.262459,53.34078],[-0.029256,53.55642],[-0.07112,53.569258],[-0.187082,53.585671],[-0.656543,53.584289],[-0.762088,53.39581],[-0.637722,52.911994],[-0.476384,52.653545]"
Northamptonshire,Midlands,England,52.30994617,-0.862083435,11,"[-0.985938,52.128771],[-0.5700557,52.2854924],[-0.688742,52.496989],[-0.719542,52.499585],[-0.922196,52.481151],[-1.161673,52.255047],[-0.985938,52.128771]"
Nottinghamshire or Leicestershire,Midlands,England,52.94853752,-1.175022125,12,"[-1.195294,52.550408],[-0.721938,52.587672],[-0.73124,52.672299],[-0.806288,53.075765],[-0.934186,53.327553],[-1.116375,53.301473],[-1.316755,53.070869],[-1.373657,52.72213],[-1.296116,52.627473],[-1.195294,52.550408]"
Potteries and District,Midlands,England,52.97200329,-2.334816,10,"[-2.265556,52.780865],[-1.790659,52.784529],[-1.639743,52.802435],[-1.609897,52.806098],[-2.025607,53.106787],[-2.21457,53.1623],[-2.369149,53.145156],[-2.451504,53.101517],[-2.519589,53.063828],[-2.681858,52.970343],[-2.265556,52.780865]"
"Blackpool, Fylde and Wyre",North West,England,53.79831896,-2.971973419,12,"[-2.962849,53.7364],[-2.963027,53.73755],[-2.99086,53.846804],[-3.024883,53.858832],[-3.043161,53.82593],[-3.049425,53.792682],[-3.031694,53.749367],[-2.995435,53.740398],[-2.962849,53.7364]"
Cheshire East,North West,England,53.37371775,-2.25528717,11,"[-2.457061,53.093183],[-1.985382,53.324793],[-1.950008,53.443965],[-2.062434,53.480596],[-2.59779,53.431899],[-2.595863,53.386747],[-2.541067,53.189172],[-2.457061,53.093183]"
Chester City,North West,England,53.19404501,-2.8860285,13,"[-2.916392,53.17797],[-2.837537,53.187028],[-2.869881,53.210114],[-2.927393,53.209347],[-2.93452,53.200356],[-2.916392,53.17797]"
East Lancs,North West,England,53.73409406,-2.3256035,10,"[-2.285601,53.550991],[-2.098983,53.645954],[-2.099201,53.712226],[-2.187062,53.916403],[-2.393066,53.866126],[-2.503894,53.749882],[-2.552224,53.598397],[-2.285601,53.550991]"
Liverpool City,North West,England,53.41843167,-2.940731049,12,"[-0.7257167,52.3955445],[-2.876703,53.469779],[-3.0278166,53.4982488],[-3.034634,53.488588],[-3.0346493,53.4882664],[-2.99487,53.407084],[-2.945521,53.376904],[-2.901003,53.356548],[-0.7257167,52.3955445]"
Manchester,North West,England,53.46689634,-2.24275589,12,"[-2.234033,53.303252],[-2.045643,53.517861],[-2.099061,53.575533],[-2.220947,53.592457],[-2.43485,53.598647],[-2.660542,53.585246],[-2.582427,53.368423],[-2.234033,53.303252]"
Merseyside and South West Lancs,North West,England,53.46884232,-2.824172974,10,"[-2.76791,53.27532],[-2.479771,53.380855],[-2.633606,53.547748],[-3.001556,53.647215],[-3.014697,53.643097],[-3.041204,53.602257],[-2.76791,53.27532]"
North East Wales,North West,England,53.16283245,-3.34602356,10,"[-3.174595,52.969857],[-3.067225,52.976788],[-2.97264,53.04378],[-2.889728,53.182272],[-2.884301,53.213783],[-3.423673,53.335769],[-3.814424,53.321026],[-3.174595,52.969857]"
North West,North West,England,54.14111527,-2.894210815,10,"[-2.595863,53.386747],[-2.028374,53.449671],[-2.278024,54.068612],[-2.820332,54.903696],[-2.940565,54.911326],[-3.498087,54.715753],[-3.546779,54.642511],[-3.571018,54.579878],[-2.971035,53.392268],[-2.595863,53.386747]"
Wirral,North West,England,53.34747302,-3.057289124,11,"[-2.901932,53.278858],[-3.04604,53.436947],[-3.178431,53.392073],[-2.947619,53.287178],[-2.901932,53.278858]"
Durham and Cleveland,North East,England,54.67010253,-1.383765,10,"[-1.54204,54.48597],[-1.142419,54.487527],[-0.883921,54.5536],[-1.312699,54.763237],[-1.320988,54.766707],[-1.593157,54.828081],[-1.832766,54.853404],[-1.883609,54.730321],[-1.925393,54.544348],[-1.54204,54.48597]"
Hull and East Riding,North East,England,53.88369713,-0.534896851,10,"[-0.880344,53.707963],[-0.32392,53.741269],[-0.171746,53.907052],[-0.208736,54.084081],[-0.777445,53.932327],[-0.880344,53.707963]"
North Yorkshire,North East,England,54.13963154,-1.3968695,9,"[-0.871338,53.741586],[-0.322931,54.180532],[-0.403013,54.273894],[-0.609329,54.481654],[-1.7365,54.40486],[-2.170889,53.856159],[-0.871338,53.741586]"
Northumberland,North East,England,55.24896329,-1.713180542,10,"[-1.589403,55.087358],[-1.541092,55.126617],[-1.712506,55.41723],[-2.014086,55.543704],[-1.68893,55.170378],[-1.589403,55.087358]"
South Yorkshire and North East Derbyshire,North East,England,53.39602781,-1.402130127,10,"[-1.361782,53.185101],[-1.017442,53.433429],[-1.09472,53.531109],[-1.476005,53.57974],[-1.633414,53.527474],[-1.537102,53.32593],[-1.459472,53.243311],[-1.361782,53.185101]"
Sunderland and District,North East,England,54.87491731,-1.392688751,12,"[-1.338014,54.837697],[-1.399695,54.893725],[-1.444833,54.872075],[-1.338014,54.837697]"
Tyne and Northumbria,North East,England,54.9695364,-1.578941345,11,"[-1.574477,54.860718],[-1.382028,54.908123],[-1.440614,55.041465],[-1.541506,55.068568],[-1.743683,55.050611],[-1.74287,54.982344],[-1.574477,54.860718]"
West Riding,North East,England,53.7675744,-1.543235779,11,"[-1.35381,53.610979],[-1.313778,53.68963],[-1.388304,53.932693],[-1.795815,53.925925],[-1.823948,53.924334],[-1.632177,53.691003],[-1.35381,53.610979]"
West Yorkshire,North East,England,53.75865789,-1.826820374,11,"[-1.81989,53.556654],[-1.6531,53.573607],[-1.632177,53.691003],[-1.768928,53.853066],[-2.019013,53.955694],[-2.015988,53.741001],[-1.81989,53.556654]"
Brighton Area,South East,England,50.82508252,-0.15329361,13,"[-0.04198,50.801792],[-0.035071,50.804455],[-0.146162,50.83338],[-0.189766,50.842041],[-0.273532,50.834201],[-0.272646,50.833606],[-0.04198,50.801792]"
East Kent,South East,England,51.21247016,1.071853638,10,"[0.685796,51.067482],[1.081526,51.070623],[1.183855,51.083592],[1.313025,51.125669],[1.402293,51.220244],[1.442375,51.360954],[1.384608,51.383642],[1.336541,51.382099],[1.129572,51.371845],[0.739831,51.340589],[0.735773,51.340207],[0.685796,51.067482]"
East Sussex,South East,England,50.85558071,0.152778625,11,"[0.279662,50.761848],[0.289238,50.768325],[0.304227,50.783306],[0.301089,50.802597],[0.110994,51.101784],[-0.000966,50.875909],[0.009155,50.790903],[0.094218,50.776312],[0.279662,50.761848]"
Hastings and Rother,South East,England,50.85644759,0.577919483,15,"[0.474133,50.84157],[0.576981,50.854759],[0.593325,50.858912],[0.593984,50.859779],[0.475328,50.853156],[0.474133,50.84157]"
Mid Surrey,South East,England,51.29423846,-0.584163666,12,"[-0.482399,51.14333],[-0.358387,51.152111],[-0.267903,51.234101],[-0.324259,51.299803],[-0.401208,51.38182],[-0.514423,51.435295],[-0.573053,51.427309],[-0.633758,51.398269],[-0.777416,51.327801],[-0.842588,51.259493],[-0.796594,51.214617],[-0.795316,51.214208],[-0.482399,51.14333]"
North East Surrey,South East,England,51.28393651,-0.102825165,12,"[0.064425,51.197216],[-0.041558,51.308689],[-0.115677,51.339555],[-0.147481,51.317498],[-0.212019,51.241624],[-0.20878,51.23767],[-0.196274,51.225571],[0.064425,51.197216]"
Northdown,South East,England,51.16858356,-1.229782104,10,"[-1.35247,50.965944],[-0.977418,51.146949],[-0.939559,51.253047],[-0.966321,51.281432],[-1.152307,51.35478],[-1.325994,51.346799],[-1.481315,51.207208],[-1.494166,51.191897],[-1.492084,51.128875],[-1.373893,50.985638],[-1.354684,50.966172],[-1.35247,50.965944]"
Solent,South East,England,50.83347136,-1.525382996,11,"[-1.587233,50.726054],[-1.262013,50.861409],[-1.358987,50.914282],[-1.501634,50.988706],[-1.787745,50.844043],[-1.666949,50.748754],[-1.587233,50.726054]"
